
Host: sophon

Timers On : Sat Feb  4 17:10:33 2023
Timers Off: Sat Feb  4 17:15:17 2023

Wall Time:      284.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 Bia                           :      0.017u      0.000s      0.008w      1 calls
| DFMP2 Metric                      :      0.017u      0.000s      0.008w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.000w      1 calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.000w      1 calls
DFMP2 Energy                        :      0.000u      0.000s      0.001w      1 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.000w      2 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 12:59:40 2023
Timers Off: Sun Feb  5 13:27:27 2023

Wall Time:     1667.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.000s      0.015w      5 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w     32 calls
DFH: initialize()                   :      0.083u      0.000s      0.049w      5 calls
DFH: AO Construction                :      0.000u      0.000s      0.005w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      5 calls
HF: Form core H                     :      0.033u      0.017s      0.314w     10 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     10 calls
HF: Guess                           :      0.533u      0.017s      0.345w     10 calls
SAD Guess                           :      0.483u      0.017s      0.319w     10 calls
HF: Form G                          :      0.767u      0.000s      0.543w     97 calls
JK: D                               :      0.000u      0.000s      0.001w     97 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     97 calls
JK: JK                              :      0.000u      0.000s      0.005w     97 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.004w     42 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     42 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     42 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w     42 calls
PK computes JK                      :      0.000u      0.000s      0.001w     55 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     97 calls
RV: Form V                          :      0.767u      0.000s      0.532w      7 calls
Properties                          :      0.083u      0.000s      0.077w   3829 calls
Functional                          :      0.550u      0.000s      0.362w   3829 calls
V_xc                                :      0.117u      0.000s      0.078w   3829 calls
HF: Form F                          :      0.000u      0.000s      0.001w     97 calls
HF: Form D                          :      0.000u      0.000s      0.000w     97 calls
HF: DIIS                            :      0.550u      0.050s      0.273w     87 calls
HF: Form C                          :      0.050u      0.000s      0.023w     87 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.000u      0.000s      0.003w      1 calls
DFMP2 (A|mn)                        :      0.000u      0.000s      0.001w      1 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.000w      1 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.000w      1 calls
DFMP2 Bia                           :      0.017u      0.000s      0.005w      1 calls
DFMP2 Metric                        :      0.017u      0.000s      0.004w      1 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.000w      1 calls
DFMP2 (ia|A)(A|Q)                   :      0.000u      0.000s      0.000w      1 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.000w      1 calls
DFMP2 Energy                        :      0.000u      0.000s      0.000w      1 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.000w      2 calls
Total PK formation time             :      0.067u      0.000s      0.040w      5 calls
ccenergy                            :      0.233u      0.233s      0.465w      4 calls
F build                             :      0.017u      0.000s      0.035w     16 calls
Wmbej build                         :      0.017u      0.000s      0.014w     16 calls
C->Wmbej                            :      0.000u      0.000s      0.001w     16 calls
F->Wmbej                            :      0.000u      0.000s      0.006w     16 calls
E->Wmbej                            :      0.017u      0.000s      0.002w     16 calls
X->Wmbej                            :      0.000u      0.000s      0.004w     16 calls
Z                                   :      0.000u      0.017s      0.001w     16 calls
T2 Build                            :      0.033u      0.000s      0.042w     16 calls
BT2                                 :      0.000u      0.000s      0.008w     16 calls
ABCD:new                            :      0.000u      0.000s      0.008w     16 calls
ABCD:S                              :      0.000u      0.000s      0.001w     16 calls
ABCD:A                              :      0.000u      0.000s      0.001w     16 calls
ABCD:axpy                           :      0.000u      0.000s      0.004w     16 calls
FT2                                 :      0.017u      0.000s      0.002w     16 calls
WmbejT2                             :      0.017u      0.000s      0.005w     16 calls
CT2                                 :      0.000u      0.000s      0.010w     16 calls
cctriples                           :      0.017u      0.033s      0.065w      2 calls
ET_RHF                              :      0.000u      0.000s      0.032w      2 calls
FNOCC: Initializing Integrals       :      0.000u      0.000s      0.000w      1 calls
FNOCC: Two Elec Int Trans.          :      0.000u      0.000s      0.023w      1 calls
FNOCC: CC energy                    :      0.033u      0.050s      0.160w      1 calls
FNOCC: triples                      :      0.017u      0.000s      0.009w      1 calls
V: Grid                             :      0.050u      0.000s      0.084w      1 calls
build grid                          :      0.033u      0.000s      0.028w      1 calls
post-process grid                   :      0.017u      0.000s      0.011w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.015w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.006w      5 calls
DFH: initialize()                   :      0.083u      0.000s      0.049w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w     10 calls
| DFH: AO Construction              :      0.000u      0.000s      0.005w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      5 calls
HF: Form core H                     :      0.033u      0.017s      0.314w     10 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     10 calls
HF: Guess                           :      0.533u      0.017s      0.345w     10 calls
| SAD Guess                         :      0.483u      0.017s      0.319w     10 calls
HF: Form G                          :      0.767u      0.000s      0.543w     97 calls
| JK: D                             :      0.000u      0.000s      0.001w     97 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     97 calls
| JK: JK                            :      0.000u      0.000s      0.005w     97 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.004w     42 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     42 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     42 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.002w     42 calls
| | PK computes JK                  :      0.000u      0.000s      0.001w     55 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     97 calls
| RV: Form V                        :      0.767u      0.000s      0.532w      7 calls
| | Properties                      :      0.083u      0.000s      0.077w   3829 calls
| | Functional                      :      0.550u      0.000s      0.362w   3829 calls
| | V_xc                            :      0.117u      0.000s      0.078w   3829 calls
HF: Form F                          :      0.000u      0.000s      0.001w     97 calls
HF: Form D                          :      0.000u      0.000s      0.000w     97 calls
HF: DIIS                            :      0.550u      0.050s      0.273w     87 calls
HF: Form C                          :      0.050u      0.000s      0.023w     87 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.000u      0.000s      0.003w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
| DFMP2 (A|mn)                      :      0.000u      0.000s      0.001w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.000u      0.000s      0.000w      1 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.000w      1 calls
DFMP2 Bia                           :      0.017u      0.000s      0.005w      1 calls
| DFMP2 Metric                      :      0.017u      0.000s      0.004w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.000w      1 calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.000w      1 calls
DFMP2 Energy                        :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.000w      2 calls
Total PK formation time             :      0.067u      0.000s      0.040w      5 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.008w     10 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.004w      5 calls
ccenergy                            :      0.233u      0.233s      0.465w      4 calls
| F build                           :      0.017u      0.000s      0.035w     16 calls
| Wmbej build                       :      0.017u      0.000s      0.014w     16 calls
| | C->Wmbej                        :      0.000u      0.000s      0.001w     16 calls
| | F->Wmbej                        :      0.000u      0.000s      0.006w     16 calls
| | E->Wmbej                        :      0.017u      0.000s      0.002w     16 calls
| | X->Wmbej                        :      0.000u      0.000s      0.004w     16 calls
| Z                                 :      0.000u      0.017s      0.001w     16 calls
| T2 Build                          :      0.033u      0.000s      0.042w     16 calls
| | BT2                             :      0.000u      0.000s      0.008w     16 calls
| | | ABCD:new                      :      0.000u      0.000s      0.008w     16 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.001w     16 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.001w     16 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.004w     16 calls
| | FT2                             :      0.017u      0.000s      0.002w     16 calls
| | WmbejT2                         :      0.017u      0.000s      0.005w     16 calls
| | CT2                             :      0.000u      0.000s      0.010w     16 calls
cctriples                           :      0.017u      0.033s      0.065w      2 calls
| ET_RHF                            :      0.000u      0.000s      0.032w      2 calls
FNOCC: Initializing Integrals       :      0.000u      0.000s      0.000w      1 calls
FNOCC: Two Elec Int Trans.          :      0.000u      0.000s      0.023w      1 calls
FNOCC: CC energy                    :      0.033u      0.050s      0.160w      1 calls
| FNOCC: triples                    :      0.017u      0.000s      0.009w      1 calls
V: Grid                             :      0.050u      0.000s      0.084w      1 calls
| build grid                        :      0.033u      0.000s      0.028w      1 calls
| post-process grid                 :      0.017u      0.000s      0.011w      1 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 13:27:49 2023
Timers Off: Sun Feb  5 13:45:40 2023

Wall Time:     1070.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.004w      3 calls
DFH: initialize()                   :      0.017u      0.017s      0.011w      1 calls
DFH: AO Construction                :      0.000u      0.017s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.033w      1 calls
SAD Guess                           :      0.050u      0.000s      0.031w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.001w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.067u      0.000s      0.024w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.017u      0.017s      0.011w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.000u      0.017s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.033w      1 calls
| SAD Guess                         :      0.050u      0.000s      0.031w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.001w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.067u      0.000s      0.024w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 13:45:42 2023
Timers Off: Sun Feb  5 13:48:02 2023

Wall Time:      139.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.017s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      3 calls
DFH: initialize()                   :      0.017u      0.017s      0.092w      1 calls
DFH: AO Construction                :      0.000u      0.017s      0.003w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.067u      0.017s      0.103w      1 calls
SAD Guess                           :      0.067u      0.017s      0.101w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.001w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.024w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.017s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.017u      0.017s      0.092w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.000u      0.017s      0.003w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.067u      0.017s      0.103w      1 calls
| SAD Guess                         :      0.067u      0.017s      0.101w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.001w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.024w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 13:48:28 2023
Timers Off: Sun Feb  5 13:48:51 2023

Wall Time:       22.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.003w      3 calls
DFH: initialize()                   :      0.017u      0.000s      0.010w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.029w      1 calls
SAD Guess                           :      0.050u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.001w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.019w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.017u      0.000s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.029w      1 calls
| SAD Guess                         :      0.050u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.001w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.019w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 13:48:52 2023
Timers Off: Sun Feb  5 13:50:47 2023

Wall Time:      114.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.003w      3 calls
DFH: initialize()                   :      0.017u      0.000s      0.010w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
